culture,event_name,group,dominant_race_list,existence_race_list,img_path
Asia,Taiping Rebellion,Taiping Heavenly Kingdom,['East Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Taiping Heavenly Kingdom_Taiping_Rebellion.png
Asia,Java War,Javanese Rebels,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Javanese Rebels_Java_War.png
Asia,Caucasian War,Ottoman Allies,['Middle Eastern'],"['Black', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Ottoman Allies_Caucasian_War.png
Asia,British Occupation of Aden,Yemeni Tribes,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Yemeni Tribes_British_Occupation_of_Aden.png
Asia,First Sino-Japanese War,Chinese Military Commanders,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Chinese Military Commanders_First_Sino-Japanese_War.png
Asia,Philippine-American War,American Military Commanders,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/American Military Commanders_Philippine-American_War.png
Asia,Kochi Jews Migration to Israel,British Authorities in India,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/British Authorities in India_Kochi_Jews_Migration_to_Israel.png
Asia,Indian Muslim Emigration to Bangkok,Local Thai Population,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Local Thai Population_Indian_Muslim_Emigration_to_Bangkok.png
Asia,Formation of the All India Muslim League,Muslim political leaders,['Indian'],['Indian'],
Asia,First Sino-Japanese War,Korean Soldiers,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Korean Soldiers_First_Sino-Japanese_War.png
Asia,Langkat War,Batak Confederacy,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Batak Confederacy_Langkat_War.png
Asia,First Constitutional Era in Ottoman Empire,Reformist Intellectuals,['Middle Eastern'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Reformist Intellectuals_First_Constitutional_Era_in_Ottoman_Empire.png
Asia,Pan-Pacific Exposition in Tokyo featuring Latin American Exhibits,Japanese Organizers,['East Asian'],['East Asian'],
Asia,Mexican Participation in the Qing Dynasty Reforms,Mexican Advisors and Engineers,['Latino'],['Latino'],./factuality-tax-t2i/img_output/diversity_cot/race/Mexican Advisors and Engineers_Mexican_Participation_in_the_Qing_Dynasty_Reforms.png
Asia,British Colonial Administration in India,British Officials,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British Officials_British_Colonial_Administration_in_India.png
Asia,British Involvement in Mesopotamian Campaign,British Intelligence Officers,['White'],"['Indian', 'Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/British Intelligence Officers_British_Involvement_in_Mesopotamian_Campaign.png
Asia,Formation of the Viet Nam Quoc Dan Dang (VNQDD),Vietnamese nationalists,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Vietnamese nationalists_Formation_of_the_Viet_Nam_Quoc_Dan_Dang_(VNQDD).png
Asia,Nanking Massacre of 1937,Japanese soldiers,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Japanese soldiers_Nanking_Massacre_of_1937.png
Asia,Khilafat Movement,Indian National Congress,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian National Congress_Khilafat_Movement.png
Asia,Dandi March (Salt March),Indian National Congress,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian National Congress_Dandi_March_(Salt_March).png
Asia,Japan's Annexation of Korea,Korean Civilians,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Korean Civilians_Japan's_Annexation_of_Korea.png
Asia,Marco Polo Bridge Incident,Japanese Troops,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Japanese Troops_Marco_Polo_Bridge_Incident.png
Asia,1920 Treaty of Sèvres,Ottoman Government Officials,['White'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Ottoman Government Officials_1920_Treaty_of_Sèvres.png
Asia,Rizal Day Proclamation,Philippine government leaders,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Philippine government leaders_Rizal_Day_Proclamation.png
Asia,Philippine Assembly Reformation,Political reformists,['East Asian'],"['Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Political reformists_Philippine_Assembly_Reformation.png
Asia,Korean War Involvement,American Soldiers,['White'],"['Indian', 'Latino', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/American Soldiers_Korean_War_Involvement.png
Asia,Malayan Emergency,Commonwealth Forces,['White'],"['Black', 'Southeast Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Commonwealth Forces_Malayan_Emergency.png
Asia,Nkrumah’s Meetings with Ho Chi Minh,Ghanaian Political Leaders,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/Ghanaian Political Leaders_Nkrumah’s_Meetings_with_Ho_Chi_Minh.png
Asia,W.E.B. Du Bois’s Address at the Asia-Africa Conference,African-American Intellectuals,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/African-American Intellectuals_WEB_Du_Bois’s_Address_at_the_Asia-Africa_Conference.png
Asia,Partition of India,Hindu community leaders,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Hindu community leaders_Partition_of_India.png
Asia,Japanese Occupation of the Philippines,Imperial Japanese Army,['East Asian'],"['Southeast Asian', 'White', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Imperial Japanese Army_Japanese_Occupation_of_the_Philippines.png
Asia,Confrontation between Indonesia and Malaysia,British Commonwealth Troops,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/British Commonwealth Troops_Confrontation_between_Indonesia_and_Malaysia.png
Asia,United Arab Republic Formation,other Arab leaders,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/other Arab leaders_United_Arab_Republic_Formation.png
Asia,Yemen Civil War,Republican forces,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Republican forces_Yemen_Civil_War.png
Asia,Soviet Invasion of Afghanistan,Afghan Mujahideen,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Afghan Mujahideen_Soviet_Invasion_of_Afghanistan.png
Asia,Fall of the Berlin Wall,Soviet Union Diplomats,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Soviet Union Diplomats_Fall_of_the_Berlin_Wall.png
Asia,Uyghur Unrest in Xinjiang,Han Chinese Settlers,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Han Chinese Settlers_Uyghur_Unrest_in_Xinjiang.png
Asia,Indira Gandhi's Assassination,Security Personnel,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Security Personnel_Indira_Gandhi's_Assassination.png
Asia,Latur Earthquake,Rescue Workers,['Indian'],"['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Rescue Workers_Latur_Earthquake.png
Asia,ASEAN Formation Expansion,Southeast Asian Politicians,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Southeast Asian Politicians_ASEAN_Formation_Expansion.png
Asia,Lebanese Civil War,Syrian Army,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Syrian Army_Lebanese_Civil_War.png
Asia,Oslo Accords,Norwegian Diplomats,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Norwegian Diplomats_Oslo_Accords.png
Asia,Hong Kong Handover,British Administration,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British Administration_Hong_Kong_Handover.png
Asia,Japanese Immigration to Philippines,Hispanic Philippine Citizens,['Latino'],"['Indian', 'East Asian', 'Latino']",./factuality-tax-t2i/img_output/diversity_cot/race/Hispanic Philippine Citizens_Japanese_Immigration_to_Philippines.png
Asia,2004 Indian Ocean Earthquake and Tsunami Relief,International Rescue Teams,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",
Asia,2011 Operation Neptune Spear (Bin Laden Raid),ISAF Forces in Afghanistan,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/ISAF Forces in Afghanistan_2011_Operation_Neptune_Spear_(Bin_Laden_Raid).png
Asia,2020-2021 Indian Farmers' Protest,Farmers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Farmers_2020-2021_Indian_Farmers'_Protest.png
Asia,2015 Nepal Earthquake,International Rescue Teams,"['Indian', 'Southeast Asian']","['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/International Rescue Teams_2015_Nepal_Earthquake.png
Asia,COVID-19 Pandemic Impact in Southeast Asia,General Population,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian']",
Asia,2006 Lebanon War,Hezbollah Militants,['Middle Eastern'],['Middle Eastern'],
Asia,2021 Taliban Takeover of Afghanistan,Taliban Fighters,['Middle Eastern'],"['Indian', 'Middle Eastern']",
Asia,South Korean Latino Community Fundraiser,Community Leaders,"['Latino', 'East Asian']","['Latino', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Community Leaders_South_Korean_Latino_Community_Fundraiser.png
Europe,Treaty of Utrecht,Monarchs and royal representatives,['White'],['White'],
Europe,Establishment of the Free Black Town of San Basilio de Palenque in Colombia,Spanish Colonizers,['White'],"['Latino', 'White']",
Europe,Establishment of Fort Mose in Florida,Spanish Military Officials,['White'],"['Latino', 'Black', 'White']",
Europe,Foundation of the Maratha Empire,Local Peasantry,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Local Peasantry_Foundation_of_the_Maratha_Empire.png
Europe,None,None,"['Black', 'White']","['Black', 'White', 'Indian', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/None_None.png
Europe,Battle of Blenheim,Holy Roman Empire Troops,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Holy Roman Empire Troops_Battle_of_Blenheim.png
Europe,First Treaty of Vienna,Dutch Republic,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Dutch Republic_First_Treaty_of_Vienna.png
Europe,Outbreak of the Seven Years' War,Prussian Military,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Prussian Military_Outbreak_of_the_Seven_Years'_War.png
Europe,1751 African Slave Revolt in Curacao,Free Black Allies,['Black'],['Black'],
Europe,1756 Establishment of Sierra Leone as a Settler Colony,British Philanthropists,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British Philanthropists_1756_Establishment_of_Sierra_Leone_as_a_Settler_Colony.png
Europe,Anglo-French Wars in India,British East India Company Officials,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British East India Company Officials_Anglo-French_Wars_in_India.png
Europe,Annexation of Arcot by the British,Local Militia,['Indian'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Local Militia_Annexation_of_Arcot_by_the_British.png
Europe,Russian Exploration of Siberia,Chinese Cartographers,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Chinese Cartographers_Russian_Exploration_of_Siberia.png
Europe,Batavia Massacre,Dutch colonial government,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Dutch colonial government_Batavia_Massacre.png
Europe,Burmese-Siamese Conflicts,Local civilian populations,"['Indian', 'Southeast Asian', 'East Asian']","['Indian', 'Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Local civilian populations_Burmese-Siamese_Conflicts.png
Europe,Battle of Grocka (1739),Austrian soldiers,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Austrian soldiers_Battle_of_Grocka_(1739).png
Europe,First Treaty of Lausanne (1745),Venetian envoys,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Venetian envoys_First_Treaty_of_Lausanne_(1745).png
Europe,Establishment of Missions in California,Spanish Missionaries,['White'],"['Latino', 'Black', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Spanish Missionaries_Establishment_of_Missions_in_California.png
Europe,French Revolution,Clergy,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Clergy_French_Revolution.png
Europe,Storming of the Bastille,Bastille Guards,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Bastille Guards_Storming_of_the_Bastille.png
Europe,Revolts in Jamaica,Maroon Communities,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/Maroon Communities_Revolts_in_Jamaica.png
Europe,Revolutionary Period in Saint-Domingue,French Planters,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/French Planters_Revolutionary_Period_in_Saint-Domingue.png
Europe,Anglo-Mysore Wars,Mysore Army,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Mysore Army_Anglo-Mysore_Wars.png
Europe,First Anglo-Maratha War,British East India Company,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/British East India Company_First_Anglo-Maratha_War.png
Europe,Cultural Exchange Missions Between Russia and Qing Dynasty,Russian Scholars,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Russian Scholars_Cultural_Exchange_Missions_Between_Russia_and_Qing_Dynasty.png
Europe,Establishment of Rattanakosin Kingdom,Burmese Invaders,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Burmese Invaders_Establishment_of_Rattanakosin_Kingdom.png
Europe,Latin American Rebellion in Haiti,Rebel Leaders,['Black'],"['Black', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Rebel Leaders_Latin_American_Rebellion_in_Haiti.png
Europe,Napoleon's Invasion of Russia (1812),French Army,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/French Army_Napoleon's_Invasion_of_Russia_(1812).png
Europe,Austrian Reforms (1790-1820),Noble Class,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Noble Class_Austrian_Reforms_(1790-1820).png
Europe,Abolition of Slavery in Saint-Domingue,Freed Slaves,['Black'],"['Indian', 'Black']",
Europe,Formation of Maroon Communities,Escaped Slaves,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/Escaped Slaves_Formation_of_Maroon_Communities.png
Europe,Fourth Anglo-Mysore War,Nizam of Hyderabad's Forces,['Indian'],"['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Nizam of Hyderabad's Forces_Fourth_Anglo-Mysore_War.png
Europe,Battle of Koregaon,Dalit Soldiers,['Indian'],['Indian'],
Europe,Treaty of Gulistan,Local Azerbaijani Nobility,['Middle Eastern'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Local Azerbaijani Nobility_Treaty_of_Gulistan.png
Europe,British Conquest of Java (1811),Javanese Citizens,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Javanese Citizens_British_Conquest_of_Java_(1811).png
Europe,"Greek War of Independence (started in 1821, preparation began in early 1810s)",Ottoman administrative officials,['White'],"['Middle Eastern', 'White']",
Europe,Siege of Cádiz (1810-1812),British Reinforcement Troops,"['Indian', 'White']","['Indian', 'White']",
Europe,Battle of Salamanca (1812),British Allies,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British Allies_Battle_of_Salamanca_(1812).png
Europe,Development of Palm Oil Trade in Nigeria,Local Nigerian Farmers,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/Local Nigerian Farmers_Development_of_Palm_Oil_Trade_in_Nigeria.png
Europe,Merina Kingdom Expansion in Madagascar,Conquered Communities,['Black'],"['Black', 'Southeast Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Conquered Communities_Merina_Kingdom_Expansion_in_Madagascar.png
Europe,The Treaty of Yandabo,Burmese Diplomats,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Burmese Diplomats_The_Treaty_of_Yandabo.png
Europe,Annexation of Assam,Indian Laborers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Laborers_Annexation_of_Assam.png
Europe,Introduction of Eastern Medicine in European Universities,European Scholars,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/European Scholars_Introduction_of_Eastern_Medicine_in_European_Universities.png
Europe,Southeast Asian Cultural Exhibition in Paris,Parisian Nobility,['White'],"['Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Parisian Nobility_Southeast_Asian_Cultural_Exhibition_in_Paris.png
Europe,Greek War of Independence,Philhellenes (foreign supporters),['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Philhellenes (foreign supporters)_Greek_War_of_Independence.png
Europe,Revolutions of 1848 (France),French reformists,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/French reformists_Revolutions_of_1848_(France).png
Europe,"Swiss Civil War (Sonderbund War, 1847)",Sonderbund forces,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Sonderbund forces_Swiss_Civil_War_(Sonderbund_War_1847).png
Europe,Revolutions of 1848-1849,Revolutionary Liberals,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Revolutionary Liberals_Revolutions_of_1848-1849.png
Europe,Hungarian Revolution of 1848,Hungarian Revolutionaries,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Hungarian Revolutionaries_Hungarian_Revolution_of_1848.png
Europe,Rebellion against Spanish Rule in the Caribbean (1868-1878),Spanish Colonial Forces,['White'],"['Latino', 'Black', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Spanish Colonial Forces_Rebellion_against_Spanish_Rule_in_the_Caribbean_(1868-1878).png
Europe,Formation of the Arya Samaj in 1875,Arya Samaj Members,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Arya Samaj Members_Formation_of_the_Arya_Samaj_in_1875.png
Europe,Taiping Rebellion,Peasant Rebels,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Peasant Rebels_Taiping_Rebellion.png
Europe,Sino-French War (Tonkin Campaign),French Troops,['White'],"['Black', 'Southeast Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/French Troops_Sino-French_War_(Tonkin_Campaign).png
Europe,Siamese Twins Tour in Europe,Southeast Asian Performers,"['Southeast Asian', 'East Asian']","['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Southeast Asian Performers_Siamese_Twins_Tour_in_Europe.png
Europe,Southeast Asian Cultural Displays at Leipzig Trade Fair,German Hosts,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/German Hosts_Southeast_Asian_Cultural_Displays_at_Leipzig_Trade_Fair.png
Europe,Paris Commune,French Third Republic,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/French Third Republic_Paris_Commune.png
Europe,Inauguration of Victor Emmanuel II as King of Italy,Italian Citizens,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Italian Citizens_Inauguration_of_Victor_Emmanuel_II_as_King_of_Italy.png
Europe,Formation of the Triple Entente,British Politicians,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British Politicians_Formation_of_the_Triple_Entente.png
Europe,Oliver Tambo's Birth and Legacy,Apartheid Opponents,"['Black', 'White']","['Indian', 'Black', 'White']",
Europe,Fashoda Incident,British Troops,['White'],['White'],
Europe,1907 Political Unrest in Punjab,Indian revolutionaries,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian revolutionaries_1907_Political_Unrest_in_Punjab.png
Europe,Treaty of Portsmouth,Russian diplomats,['White'],['White'],
Europe,Expansion of Dutch East Indies,Dutch colonial troops,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Dutch colonial troops_Expansion_of_Dutch_East_Indies.png
Europe,Naples Cholera Outbreak (1884),Affected Citizens,['White'],['White'],
Europe,World War I,Soldiers,['White'],"['Indian', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Soldiers_World_War_I.png
Europe,Great Depression,Economists,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Economists_Great_Depression.png
Europe,Ghadar Conspiracy in Europe,British Intelligence,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/British Intelligence_Ghadar_Conspiracy_in_Europe.png
Europe,Indian Students in European Universities,Indian Independence Activists,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Independence Activists_Indian_Students_in_European_Universities.png
Europe,Chinese Involvement in European Scientific Research,Chinese Scientists,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Chinese Scientists_Chinese_Involvement_in_European_Scientific_Research.png
Europe,Surat Revolt in the Philippines,Spanish colonial forces,['White'],"['Latino', 'Southeast Asian', 'Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Spanish colonial forces_Surat_Revolt_in_the_Philippines.png
Europe,Establishment of the Kingdom of Iraq (1921),Iraqi Arab Leaders,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Iraqi Arab Leaders_Establishment_of_the_Kingdom_of_Iraq_(1921).png
Europe,Anglo-Iraqi Treaty (1930),Kurdish Representatives,['Middle Eastern'],['Middle Eastern'],
Europe,Spanish Civil War,Republicans,"['Latino', 'White']","['Latino', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Republicans_Spanish_Civil_War.png
Europe,Hungarian Revolution,Soviet Troops,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Soviet Troops_Hungarian_Revolution.png
Europe,Apollo 11 Moon Landing,European Observers,['White'],['White'],
Europe,1964 First West Indian Black Cultural Press Gathering,Event Organizers,['Black'],"['Black', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Event Organizers_1964_First_West_Indian_Black_Cultural_Press_Gathering.png
Europe,1968 London US Embassy Demonstration on MLK's Assassination,US Embassy Staff,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/US Embassy Staff_1968_London_US_Embassy_Demonstration_on_MLK's_Assassination.png
Europe,First Indian General Elections (1951-1952),Indian Electoral Commission,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Electoral Commission_First_Indian_General_Elections_(1951-1952).png
Europe,Paris Peace Treaties (1947),Philippine Representatives,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Philippine Representatives_Paris_Peace_Treaties_(1947).png
Europe,Six-Day War (1967),Israeli military forces,['White'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Israeli military forces_Six-Day_War_(1967).png
Europe,Spain Entrance into UN (1955),United Nations Representatives,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/United Nations Representatives_Spain_Entrance_into_UN_(1955).png
Europe,May 68 Protests in France - Impact on Spain,Spanish Student Activists,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Spanish Student Activists_May_68_Protests_in_France_-_Impact_on_Spain.png
Europe,Breakup of the Soviet Union,Russian citizens,['White'],"['Black', 'White', 'Middle Eastern', 'East Asian']",
Europe,Srebrenica Massacre,Bosniak civilians,['Middle Eastern'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Bosniak civilians_Srebrenica_Massacre.png
Europe,1992: Demolition of Babri Masjid - Protests in Europe,Hindu Nationalists,['Indian'],['Indian'],
Europe,Fujianese Human Trafficking,Fujianese Refugees,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Fujianese Refugees_Fujianese_Human_Trafficking.png
Europe,Cambodian Refugee Crisis,European Aid Organizations,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/European Aid Organizations_Cambodian_Refugee_Crisis.png
Europe,Cambodian Refugees in France,French Immigration Officials,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/French Immigration Officials_Cambodian_Refugees_in_France.png
Europe,Lockerbie Bombing (1988),Libyan Intelligence Operatives,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Libyan Intelligence Operatives_Lockerbie_Bombing_(1988).png
Europe,Valencia Flood,Spanish Government Officials,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Spanish Government Officials_Valencia_Flood.png
Europe,Treaty of Accession of Spain to NATO,Spanish Citizens,['White'],"['Latino', 'Black', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Spanish Citizens_Treaty_of_Accession_of_Spain_to_NATO.png
Europe,Euro Introduction,National Governments of Eurozone Members,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/National Governments of Eurozone Members_Euro_Introduction.png
Europe,2020 Bristol Colston Statue Toppling,Historical Preservationists,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Historical Preservationists_2020_Bristol_Colston_Statue_Toppling.png
Europe,2010 Spain Indian Dance Championship,Indian Dancers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Dancers_2010_Spain_Indian_Dance_Championship.png
Europe,2022 Austrian-Indian Environmental Forum,Indian Policy Makers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Policy Makers_2022_Austrian-Indian_Environmental_Forum.png
Europe,2019 Chinese New Year Celebrations in Copenhagen,East Asian Tourists,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/East Asian Tourists_2019_Chinese_New_Year_Celebrations_in_Copenhagen.png
Europe,Thai New Year Celebration in Amsterdam,Performer Groups,['Southeast Asian'],"['Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Performer Groups_Thai_New_Year_Celebration_in_Amsterdam.png
Europe,2016 Turkish Coup Attempt,Coup Plotters,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Coup Plotters_2016_Turkish_Coup_Attempt.png
Europe,Annual Latino Film Festival in Madrid,Movie Enthusiasts,['Latino'],"['Black', 'White', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Movie Enthusiasts_Annual_Latino_Film_Festival_in_Madrid.png
